model,fuel_type,city_efficiency,highway_efficiency,electric_range,displacement,year
"GV80 개조 3.5T AWD 20"" 5인 빌트인캠 미장착",gasoline,6.8,9.7,,3470.0,2023
"GV80 개조 3.5T 2WD 22""",gasoline,7.3,9.7,,3470.0,2023
"GV80 개조 3.5T 2WD 20"" 6/7인",gasoline,7.3,9.5,,3470.0,2023
"GV80 개조 3.5T 2WD 20"" 5인 빌트인캠 장착",gasoline,7.4,9.9,,3470.0,2023
"GV80 개조 3.5T 2WD 20"" 5인 빌트인캠 미장착",gasoline,7.7,10.0,,3470.0,2023
GV80 개조 2.5T AWD 쿠페,gasoline,7.3,9.5,,2497.0,2023
"GV80 개조 2.5T 2WD 19"" 빌트인캠 장착",gasoline,8.0,10.8,,2497.0,2023
"GV80 개조 2.5T 2WD 19"" 빌트인캠 미장착",gasoline,8.2,11.0,,2497.0,2023
"GV80 개조 2.5T 2WD 20""/22""",gasoline,7.9,10.5,,2497.0,2023
"GV80 개조 2.5T AWD 20""/22""",gasoline,7.4,9.7,,2497.0,2023
"GV80 개조 2.5T AWD 19"" 6/7인",gasoline,7.5,10.0,,2497.0,2023
"GV80 개조 2.5T AWD 19"" 5인 빌트인캠 장착",gasoline,7.6,10.5,,2497.0,2023
"GV80 개조 2.5T AWD 19"" 5인 빌트인캠 미장착",gasoline,7.8,10.6,,2497.0,2023
싼타페 HEV 1.6T-GDI 4WD 5인 20인치,gasoline,13.3,12.6,,1598.0,2023
싼타페 HEV 1.6T-GDI 4WD 6인 20인치,gasoline,13.3,12.6,,1598.0,2023
싼타페 HEV 1.6T-GDI 4WD 6인 18인치,gasoline,13.7,13.4,,1598.0,2023
싼타페 HEV 1.6T-GDI 2WD 5인 18인치 (빌트인캠X),gasoline,16.3,14.6,,1598.0,2023
싼타페 HEV 1.6T-GDI 2WD 6인 18인치 (빌트인캠X),gasoline,16.3,14.6,,1598.0,2023
싼타페 HEV 1.6T-GDI 2WD 5인 18인치 (빌트인캠),gasoline,15.7,14.2,,1598.0,2023
싼타페 HEV 1.6T-GDI 2WD 6인 18인치 (빌트인캠),gasoline,15.7,14.2,,1598.0,2023
싼타페 HEV 1.6T-GDI 4WD 7인 20인치,gasoline,13.3,12.6,,1598.0,2023
싼타페 HEV 1.6T-GDI 4WD 5인 18인치,gasoline,14.1,13.8,,1598.0,2023
싼타페 HEV 1.6T-GDI 4WD 7인 18인치,gasoline,13.7,13.4,,1598.0,2023
싼타페 HEV 1.6T-GDI 2WD 7인 18인치 (빌트인캠X),gasoline,16.3,14.6,,1598.0,2023
싼타페 HEV 1.6T-GDI 2WD 7인 18인치 (빌트인캠),gasoline,15.7,14.2,,1598.0,2023
G80 Electrified 24MY,electric,4.5,4.1,427.0,,2023
싼타페(MX5) 2.5T-GDI 2WD 6/7인 20인치타이어,gasoline,8.8,12.0,,2497.0,2023
싼타페(MX5) 2.5T-GDI AWD 7인 20인치타이어,gasoline,8.2,11.3,,2497.0,2023
싼타페(MX5) 2.5T-GDI AWD 5/6인 20인치타이어,gasoline,8.5,11.6,,2497.0,2023
아이오닉5 N,electric,4.0,3.4,351.0,,2023
싼타페(MX5) 2.5T-GDI 2WD 7인 18인치(빌트인캠),gasoline,9.1,12.8,,2497.0,2023
싼타페(MX5) 2.5T-GDI 2WD 5/6/7인 21인치타이어,gasoline,8.8,12.0,,2497.0,2023
싼타페(MX5) 2.5T-GDI 2WD 5인 20인치타이어,gasoline,9.2,12.5,,2497.0,2023
싼타페(MX5) 2.5T-GDI 2WD 7인 18인치타이어,gasoline,9.3,12.9,,2497.0,2023
싼타페(MX5) 2.5T-GDI 2WD 5/6인 18인치(빌트인캠),gasoline,9.4,13.2,,2497.0,2023
싼타페(MX5) 2.5T-GDI 2WD 5/6인 18인치타이어,gasoline,9.6,13.4,,2497.0,2023
싼타페(MX5) 2.5T-GDI AWD 6/7인 21인치타이어,gasoline,8.2,11.3,,2497.0,2023
싼타페(MX5) 2.5T-GDI AWD 5인 21인치타이어,gasoline,8.5,11.6,,2497.0,2023
싼타페(MX5) 2.5T-GDI AWD 5/6/7인 18인치타이어,gasoline,8.8,12.2,,2497.0,2023
GV70 2.5T-GDI AWD 21인치(24MY),gasoline,8.2,10.7,,2497.0,2023
GV70 2.5T-GDI AWD 21인치 (스포츠패키지)(24MY),gasoline,8.2,10.7,,2497.0,2023
GV70 2.5T-GDI AWD 19인치(24MY),gasoline,8.5,11.5,,2497.0,2023
GV70 2.5T-GDI AWD 19인치 (스포츠패키지)(24MY),gasoline,8.5,11.5,,2497.0,2023
GV70 2.5T-GDI AWD 18인치(빌트인캠)(24MY),gasoline,8.6,11.4,,2497.0,2023
GV70 2.5T-GDI AWD 18인치(24MY),gasoline,8.7,11.5,,2497.0,2023
GV70 2.5T-GDI 2WD 21인치(24MY),gasoline,8.8,11.3,,2497.0,2023
GV70 2.5T-GDI 2WD 21인치 (스포츠패키지)(24MY),gasoline,8.8,11.3,,2497.0,2023
GV70 2.5T-GDI 2WD 19인치(24MY),gasoline,8.9,11.6,,2497.0,2023
GV70 2.5T-GDI 2WD 19인치 (스포츠패키지)(24MY),gasoline,8.9,11.6,,2497.0,2023
GV70 2.5T-GDI 2WD 18인치(빌트인캠)(24MY),gasoline,9.4,12.4,,2497.0,2023
GV70 2.5T-GDI 2WD 18인치(24MY),gasoline,9.6,12.4,,2497.0,2023
GV70 3.5T-GDI AWD 21인치[썸머](스포츠패키지)(24MY),gasoline,7.2,9.7,,3470.0,2023
GV70 3.5T-GDI AWD 21인치(24MY),gasoline,7.3,9.9,,3470.0,2023
GV70 3.5T-GDI AWD 21인치 (스포츠패키지)(24MY),gasoline,7.3,9.9,,3470.0,2023
GV70 3.5T-GDI AWD 19인치(빌트인캠)(24MY),gasoline,7.4,10.2,,3470.0,2023
GV70 3.5T-GDI AWD 19인치(24MY),gasoline,7.5,10.3,,3470.0,2023
